
Fecha y Hora: 2024-11-06 17:27:00 | ID Profesor: 12
Fecha y Hora: 2024-11-10 10:38:13 | ID Profesor: 39
Fecha y Hora: 2024-11-10 10:43:06 | ID Profesor: 27
Fecha y Hora: 2024-11-10 10:49:27 | ID Profesor: 33
Fecha y Hora: 2024-11-10 10:51:43 | ID Profesor: 53
Fecha y Hora: 2024-11-10 11:00:51 | ID Profesor: 64
Fecha y Hora: 2024-11-10 11:24:07 | ID Profesor: 29
Fecha y Hora: 2024-11-10 11:34:30 | ID Profesor: 33
Fecha y Hora: 2024-11-10 11:37:55 | ID Profesor: 26
Fecha y Hora: 2024-11-10 11:38:01 | ID Profesor: 12
Fecha y Hora: 2024-11-10 11:49:24 | ID Profesor: 20
Fecha y Hora: 2024-11-10 11:51:17 | ID Profesor: 27
Fecha y Hora: 2024-11-10 11:54:40 | ID Profesor: 12
Fecha y Hora: 2024-11-10 12:02:12 | ID Profesor: 27
Fecha y Hora: 2024-11-10 12:15:40 | ID Profesor: 29
Fecha y Hora: 2024-11-10 12:19:05 | ID Profesor: 39
Fecha y Hora: 2024-11-10 12:23:30 | ID Profesor: 27
Fecha y Hora: 2024-11-10 12:44:10 | ID Profesor: 39
Fecha y Hora: 2024-11-10 13:09:30 | ID Profesor: 39
Fecha y Hora: 2024-11-10 13:17:29 | ID Profesor: 33
Fecha y Hora: 2024-11-10 14:05:46 | ID Profesor: 39
Fecha y Hora: 2024-11-10 14:07:32 | ID Profesor: 39
Fecha y Hora: 2024-11-10 14:37:23 | ID Profesor: 70
Fecha y Hora: 2024-11-10 15:08:48 | ID Profesor: 70
Fecha y Hora: 2024-11-10 16:52:41 | ID Profesor: 16
Fecha y Hora: 2024-11-10 16:57:22 | ID Profesor: 39
Fecha y Hora: 2024-11-10 17:14:49 | ID Profesor: 70
Fecha y Hora: 2024-11-10 17:17:00 | ID Profesor: 33
Fecha y Hora: 2024-11-10 18:02:11 | ID Profesor: 33
Fecha y Hora: 2024-11-10 18:13:21 | ID Profesor: 16
Fecha y Hora: 2024-11-10 18:19:57 | ID Profesor: 66
Fecha y Hora: 2024-11-10 18:26:28 | ID Profesor: 39
Fecha y Hora: 2024-11-10 18:36:42 | ID Profesor: 16
Fecha y Hora: 2024-11-10 18:45:34 | ID Profesor: 46
Fecha y Hora: 2024-11-10 18:50:15 | ID Profesor: 73
Fecha y Hora: 2024-11-10 18:50:58 | ID Profesor: 70
Fecha y Hora: 2024-11-10 18:51:02 | ID Profesor: 66
Fecha y Hora: 2024-11-10 19:11:15 | ID Profesor: 65
Fecha y Hora: 2024-11-10 19:14:06 | ID Profesor: 16
Fecha y Hora: 2024-11-10 19:19:58 | ID Profesor: 33
Fecha y Hora: 2024-11-10 19:51:52 | ID Profesor: 33
Fecha y Hora: 2024-11-10 20:02:49 | ID Profesor: 73
Fecha y Hora: 2024-11-10 20:19:14 | ID Profesor: 70
Fecha y Hora: 2024-11-10 20:28:30 | ID Profesor: 12
Fecha y Hora: 2024-11-10 20:28:53 | ID Profesor: 16
Fecha y Hora: 2024-11-10 20:29:00 | ID Profesor: 33
Fecha y Hora: 2024-11-10 20:35:16 | ID Profesor: 60
Fecha y Hora: 2024-11-10 20:49:32 | ID Profesor: 70
Fecha y Hora: 2024-11-10 21:22:05 | ID Profesor: 33
Fecha y Hora: 2024-11-11 02:52:04 | ID Profesor: 53
Fecha y Hora: 2024-11-11 06:30:41 | ID Profesor: 37
Fecha y Hora: 2024-11-11 07:18:51 | ID Profesor: 32
Fecha y Hora: 2024-11-11 07:37:47 | ID Profesor: 46
Fecha y Hora: 2024-11-11 07:41:43 | ID Profesor: 37
Fecha y Hora: 2024-11-11 07:42:12 | ID Profesor: 29
Fecha y Hora: 2024-11-11 08:18:43 | ID Profesor: 12
Fecha y Hora: 2024-11-11 08:36:18 | ID Profesor: 58
Fecha y Hora: 2024-11-11 08:46:15 | ID Profesor: 29
Fecha y Hora: 2024-11-11 08:47:43 | ID Profesor: 26
Fecha y Hora: 2024-11-11 08:47:44 | ID Profesor: 37
Fecha y Hora: 2024-11-11 08:50:08 | ID Profesor: 62
Fecha y Hora: 2024-11-11 08:50:56 | ID Profesor: 39
Fecha y Hora: 2024-11-11 08:55:59 | ID Profesor: 26
Fecha y Hora: 2024-11-11 09:03:32 | ID Profesor: 45
Fecha y Hora: 2024-11-11 09:13:12 | ID Profesor: 62
Fecha y Hora: 2024-11-11 09:15:52 | ID Profesor: 37
Fecha y Hora: 2024-11-11 09:28:06 | ID Profesor: 62
Fecha y Hora: 2024-11-11 09:39:45 | ID Profesor: 32
Fecha y Hora: 2024-11-11 09:57:23 | ID Profesor: 65
Fecha y Hora: 2024-11-11 10:22:48 | ID Profesor: 33
Fecha y Hora: 2024-11-11 10:42:35 | ID Profesor: 53
Fecha y Hora: 2024-11-11 10:46:18 | ID Profesor: 12
Fecha y Hora: 2024-11-11 12:25:04 | ID Profesor: 29
Fecha y Hora: 2024-11-11 12:45:10 | ID Profesor: 65
Fecha y Hora: 2024-11-11 12:57:36 | ID Profesor: 65
Fecha y Hora: 2024-11-11 14:24:33 | ID Profesor: 32
Fecha y Hora: 2024-11-11 14:31:02 | ID Profesor: 27
Fecha y Hora: 2024-11-11 14:56:24 | ID Profesor: 16
Fecha y Hora: 2024-11-11 14:59:42 | ID Profesor: 32
Fecha y Hora: 2024-11-11 15:15:24 | ID Profesor: 39
Fecha y Hora: 2024-11-11 15:15:27 | ID Profesor: 33
Fecha y Hora: 2024-11-11 15:32:58 | ID Profesor: 27
Fecha y Hora: 2024-11-11 15:41:51 | ID Profesor: 21
Fecha y Hora: 2024-11-11 15:47:36 | ID Profesor: 26
Fecha y Hora: 2024-11-11 16:07:41 | ID Profesor: 16
Fecha y Hora: 2024-11-11 16:16:00 | ID Profesor: 34
Fecha y Hora: 2024-11-11 16:20:36 | ID Profesor: 60
Fecha y Hora: 2024-11-11 16:21:34 | ID Profesor: 32
Fecha y Hora: 2024-11-11 16:23:31 | ID Profesor: 21
Fecha y Hora: 2024-11-11 16:25:26 | ID Profesor: 27
Fecha y Hora: 2024-11-11 16:40:59 | ID Profesor: 39
Fecha y Hora: 2024-11-11 16:43:09 | ID Profesor: 34
Fecha y Hora: 2024-11-11 16:54:54 | ID Profesor: 42
Fecha y Hora: 2024-11-11 17:00:04 | ID Profesor: 39
Fecha y Hora: 2024-11-11 17:03:25 | ID Profesor: 46
Fecha y Hora: 2024-11-11 17:21:13 | ID Profesor: 60
Fecha y Hora: 2024-11-11 17:22:31 | ID Profesor: 42
Fecha y Hora: 2024-11-11 17:28:34 | ID Profesor: 69
Fecha y Hora: 2024-11-11 17:29:05 | ID Profesor: 21
Fecha y Hora: 2024-11-11 17:34:14 | ID Profesor: 18
Fecha y Hora: 2024-11-11 17:36:17 | ID Profesor: 42
Fecha y Hora: 2024-11-11 17:41:25 | ID Profesor: 32
Fecha y Hora: 2024-11-11 17:44:37 | ID Profesor: 34
Fecha y Hora: 2024-11-11 17:47:21 | ID Profesor: 18
Fecha y Hora: 2024-11-11 17:48:15 | ID Profesor: 58
Fecha y Hora: 2024-11-11 17:50:52 | ID Profesor: 36
Fecha y Hora: 2024-11-11 17:54:51 | ID Profesor: 60
Fecha y Hora: 2024-11-11 18:01:15 | ID Profesor: 38
Fecha y Hora: 2024-11-11 18:08:41 | ID Profesor: 36
Fecha y Hora: 2024-11-11 18:09:03 | ID Profesor: 69
Fecha y Hora: 2024-11-11 18:28:22 | ID Profesor: 33
Fecha y Hora: 2024-11-11 18:39:35 | ID Profesor: 33
Fecha y Hora: 2024-11-11 18:39:36 | ID Profesor: 33
Fecha y Hora: 2024-11-11 18:48:52 | ID Profesor: 38
Fecha y Hora: 2024-11-11 19:02:48 | ID Profesor: 36
Fecha y Hora: 2024-11-11 19:04:26 | ID Profesor: 46
Fecha y Hora: 2024-11-11 19:22:21 | ID Profesor: 38
Fecha y Hora: 2024-11-11 19:25:29 | ID Profesor: 26
Fecha y Hora: 2024-11-11 19:27:21 | ID Profesor: 46
Fecha y Hora: 2024-11-11 19:28:55 | ID Profesor: 15
Fecha y Hora: 2024-11-11 19:30:59 | ID Profesor: 39
Fecha y Hora: 2024-11-11 19:44:52 | ID Profesor: 16
Fecha y Hora: 2024-11-11 19:45:32 | ID Profesor: 59
Fecha y Hora: 2024-11-11 19:45:33 | ID Profesor: 49
Fecha y Hora: 2024-11-11 19:47:24 | ID Profesor: 16
Fecha y Hora: 2024-11-11 19:49:27 | ID Profesor: 55
Fecha y Hora: 2024-11-11 19:56:04 | ID Profesor: 12
Fecha y Hora: 2024-11-11 19:58:56 | ID Profesor: 49
Fecha y Hora: 2024-11-11 20:02:16 | ID Profesor: 49
Fecha y Hora: 2024-11-11 20:06:56 | ID Profesor: 34
Fecha y Hora: 2024-11-11 20:08:41 | ID Profesor: 52
Fecha y Hora: 2024-11-11 20:09:05 | ID Profesor: 16
Fecha y Hora: 2024-11-11 20:10:02 | ID Profesor: 15
Fecha y Hora: 2024-11-11 20:10:47 | ID Profesor: 53
Fecha y Hora: 2024-11-11 20:11:47 | ID Profesor: 52
Fecha y Hora: 2024-11-11 20:13:50 | ID Profesor: 39
Fecha y Hora: 2024-11-11 20:18:02 | ID Profesor: 49
Fecha y Hora: 2024-11-11 20:19:22 | ID Profesor: 52
Fecha y Hora: 2024-11-11 20:19:38 | ID Profesor: 27
Fecha y Hora: 2024-11-11 20:19:58 | ID Profesor: 39
Fecha y Hora: 2024-11-11 20:22:14 | ID Profesor: 71
Fecha y Hora: 2024-11-11 20:23:03 | ID Profesor: 39
Fecha y Hora: 2024-11-11 20:23:12 | ID Profesor: 21
Fecha y Hora: 2024-11-11 20:24:47 | ID Profesor: 49
Fecha y Hora: 2024-11-11 20:28:18 | ID Profesor: 44
Fecha y Hora: 2024-11-11 20:31:31 | ID Profesor: 55
Fecha y Hora: 2024-11-11 20:32:01 | ID Profesor: 30
Fecha y Hora: 2024-11-11 20:33:16 | ID Profesor: 16
Fecha y Hora: 2024-11-11 20:33:23 | ID Profesor: 12
Fecha y Hora: 2024-11-11 20:34:40 | ID Profesor: 36
Fecha y Hora: 2024-11-11 20:35:12 | ID Profesor: 65
Fecha y Hora: 2024-11-11 20:38:33 | ID Profesor: 72
Fecha y Hora: 2024-11-11 20:42:07 | ID Profesor: 59
Fecha y Hora: 2024-11-11 20:46:16 | ID Profesor: 53
Fecha y Hora: 2024-11-11 20:50:41 | ID Profesor: 53
Fecha y Hora: 2024-11-11 20:57:40 | ID Profesor: 34
Fecha y Hora: 2024-11-11 20:59:02 | ID Profesor: 39
Fecha y Hora: 2024-11-11 21:02:17 | ID Profesor: 39
Fecha y Hora: 2024-11-11 21:02:17 | ID Profesor: 39
Fecha y Hora: 2024-11-11 21:02:17 | ID Profesor: 39
Fecha y Hora: 2024-11-11 21:05:28 | ID Profesor: 52
Fecha y Hora: 2024-11-11 21:11:05 | ID Profesor: 52
Fecha y Hora: 2024-11-11 21:12:25 | ID Profesor: 59
Fecha y Hora: 2024-11-11 21:21:45 | ID Profesor: 29
Fecha y Hora: 2024-11-11 21:32:43 | ID Profesor: 55
Fecha y Hora: 2024-11-11 21:38:02 | ID Profesor: 62
Fecha y Hora: 2024-11-11 21:40:04 | ID Profesor: 52
Fecha y Hora: 2024-11-11 21:44:10 | ID Profesor: 35
Fecha y Hora: 2024-11-11 21:45:40 | ID Profesor: 15
Fecha y Hora: 2024-11-11 21:46:52 | ID Profesor: 27
Fecha y Hora: 2024-11-11 21:50:38 | ID Profesor: 34
Fecha y Hora: 2024-11-11 21:55:44 | ID Profesor: 30
Fecha y Hora: 2024-11-11 22:04:33 | ID Profesor: 52
Fecha y Hora: 2024-11-11 22:04:54 | ID Profesor: 51
Fecha y Hora: 2024-11-11 22:09:15 | ID Profesor: 65
Fecha y Hora: 2024-11-11 22:11:21 | ID Profesor: 55
Fecha y Hora: 2024-11-11 22:20:01 | ID Profesor: 55
Fecha y Hora: 2024-11-11 22:33:41 | ID Profesor: 49
Fecha y Hora: 2024-11-11 22:35:13 | ID Profesor: 34
Fecha y Hora: 2024-11-11 22:44:35 | ID Profesor: 12
Fecha y Hora: 2024-11-11 22:47:14 | ID Profesor: 55
Fecha y Hora: 2024-11-11 22:47:49 | ID Profesor: 30
Fecha y Hora: 2024-11-11 23:09:15 | ID Profesor: 69
Fecha y Hora: 2024-11-11 23:10:09 | ID Profesor: 34
Fecha y Hora: 2024-11-11 23:28:20 | ID Profesor: 60
Fecha y Hora: 2024-11-11 23:34:35 | ID Profesor: 65
Fecha y Hora: 2024-11-11 23:37:23 | ID Profesor: 46
Fecha y Hora: 2024-11-11 23:43:45 | ID Profesor: 27
Fecha y Hora: 2024-11-11 23:50:08 | ID Profesor: 69
Fecha y Hora: 2024-11-11 23:56:45 | ID Profesor: 55
Fecha y Hora: 2024-11-12 00:19:25 | ID Profesor: 69
Fecha y Hora: 2024-11-12 03:06:49 | ID Profesor: 32
Fecha y Hora: 2024-11-12 08:20:55 | ID Profesor: 66
Fecha y Hora: 2024-11-12 08:55:28 | ID Profesor: 32
Fecha y Hora: 2024-11-12 09:46:48 | ID Profesor: 28
Fecha y Hora: 2024-11-12 09:49:38 | ID Profesor: 32
Fecha y Hora: 2024-11-12 10:30:11 | ID Profesor: 28
Fecha y Hora: 2024-11-12 10:33:06 | ID Profesor: 29
Fecha y Hora: 2024-11-12 11:21:18 | ID Profesor: 63
Fecha y Hora: 2024-11-12 11:35:18 | ID Profesor: 30
Fecha y Hora: 2024-11-12 11:37:25 | ID Profesor: 29
Fecha y Hora: 2024-11-12 12:18:53 | ID Profesor: 31
Fecha y Hora: 2024-11-12 12:21:12 | ID Profesor: 63
Fecha y Hora: 2024-11-12 12:22:26 | ID Profesor: 30
Fecha y Hora: 2024-11-12 12:36:55 | ID Profesor: 69
Fecha y Hora: 2024-11-12 13:00:20 | ID Profesor: 63
Fecha y Hora: 2024-11-12 13:04:13 | ID Profesor: 42
Fecha y Hora: 2024-11-12 13:11:26 | ID Profesor: 69
Fecha y Hora: 2024-11-12 13:26:08 | ID Profesor: 31
Fecha y Hora: 2024-11-12 13:43:05 | ID Profesor: 42
Fecha y Hora: 2024-11-12 13:52:37 | ID Profesor: 16
Fecha y Hora: 2024-11-12 14:37:00 | ID Profesor: 18
Fecha y Hora: 2024-11-12 14:52:49 | ID Profesor: 16
Fecha y Hora: 2024-11-12 15:02:45 | ID Profesor: 27
Fecha y Hora: 2024-11-12 15:25:37 | ID Profesor: 18
Fecha y Hora: 2024-11-12 15:46:09 | ID Profesor: 39
Fecha y Hora: 2024-11-12 16:06:14 | ID Profesor: 18
Fecha y Hora: 2024-11-12 16:20:35 | ID Profesor: 31
Fecha y Hora: 2024-11-12 16:24:39 | ID Profesor: 31
Fecha y Hora: 2024-11-12 16:37:05 | ID Profesor: 16
Fecha y Hora: 2024-11-12 16:45:53 | ID Profesor: 39
Fecha y Hora: 2024-11-12 16:57:00 | ID Profesor: 18
Fecha y Hora: 2024-11-12 16:58:01 | ID Profesor: 39
Fecha y Hora: 2024-11-12 17:14:10 | ID Profesor: 36
Fecha y Hora: 2024-11-12 17:14:47 | ID Profesor: 32
Fecha y Hora: 2024-11-12 17:35:17 | ID Profesor: 18
Fecha y Hora: 2024-11-12 17:49:38 | ID Profesor: 32
Fecha y Hora: 2024-11-12 18:06:28 | ID Profesor: 18
Fecha y Hora: 2024-11-12 18:27:19 | ID Profesor: 32
Fecha y Hora: 2024-11-12 19:26:14 | ID Profesor: 53
Fecha y Hora: 2024-11-12 19:39:19 | ID Profesor: 34
Fecha y Hora: 2024-11-12 19:39:57 | ID Profesor: 49
Fecha y Hora: 2024-11-12 19:40:11 | ID Profesor: 67
Fecha y Hora: 2024-11-12 19:45:16 | ID Profesor: 55
Fecha y Hora: 2024-11-12 20:15:40 | ID Profesor: 49
Fecha y Hora: 2024-11-12 20:19:20 | ID Profesor: 49
Fecha y Hora: 2024-11-12 20:22:44 | ID Profesor: 15
Fecha y Hora: 2024-11-12 21:17:27 | ID Profesor: 46
Fecha y Hora: 2024-11-12 21:31:55 | ID Profesor: 31
Fecha y Hora: 2024-11-12 21:40:14 | ID Profesor: 67
Fecha y Hora: 2024-11-12 21:52:22 | ID Profesor: 19
